State,Quarter,Broad Type of Service,MBS Bulk Billing Rate (%), Avg Patient Contribution Per Service ($)
Qld,2009-10 Q3 (Mar Qtr),Other MBS Services,38.8%,73.05
Qld,2009-10 Q3 (Mar Qtr),Other MBS Services,41.9%,74.68
Qld,2009-10 Q3 (Mar Qtr),Other MBS Services,39.4%,65.39
Qld,2009-10 Q3 (Mar Qtr),Other MBS Services,43.0%,64.46
Qld,2009-10 Q3 (Mar Qtr),Other MBS Services,44.9%,86.51
Qld,2009-10 Q3 (Mar Qtr),Other MBS Services,45.3%,54.90
Qld,2009-10 Q3 (Mar Qtr),Other MBS Services,42.8%,64.20
SA,2009-10 Q3 (Mar Qtr),Other MBS Services,48.1%,58.64
SA,2009-10 Q3 (Mar Qtr),Other MBS Services,47.5%,64.62
SA,2009-10 Q3 (Mar Qtr),Other MBS Services,49.9%,43.11
WA,2009-10 Q3 (Mar Qtr),Other MBS Services,36.2%,58.58
WA,2009-10 Q3 (Mar Qtr),Other MBS Services,32.4%,60.10
WA,2009-10 Q3 (Mar Qtr),Other MBS Services,38.3%,58.91
WA,2009-10 Q3 (Mar Qtr),Other MBS Services,41.1%,53.47
Tas,2009-10 Q3 (Mar Qtr),Other MBS Services,52.7%,61.66
Tas,2009-10 Q3 (Mar Qtr),Other MBS Services,52.7%,61.66
NT,2009-10 Q3 (Mar Qtr),Other MBS Services,63.7%,161.61
NT,2009-10 Q3 (Mar Qtr),Other MBS Services,63.7%,161.61
ACT,2009-10 Q3 (Mar Qtr),Other MBS Services,50.6%,101.38
ACT,2009-10 Q3 (Mar Qtr),Other MBS Services,50.6%,101.38
Unk,2009-10 Q3 (Mar Qtr),Other MBS Services,58.0%,159.19
Unk,2009-10 Q3 (Mar Qtr),Other MBS Services,58.0%,159.19
Australia,2009-10 Q2 (Dec Qtr),Total Medicare,74.0%,33.38
NSW,2009-10 Q2 (Dec Qtr),Total Medicare,77.3%,36.81
NSW,2009-10 Q2 (Dec Qtr),Total Medicare,76.5%,41.74
NSW,2009-10 Q2 (Dec Qtr),Total Medicare,63.5%,37.37
NSW,2009-10 Q2 (Dec Qtr),Total Medicare,85.6%,43.65
NSW,2009-10 Q2 (Dec Qtr),Total Medicare,83.5%,38.24
NSW,2009-10 Q2 (Dec Qtr),Total Medicare,87.0%,40.54
NSW,2009-10 Q2 (Dec Qtr),Total Medicare,76.8%,33.80
NSW,2009-10 Q2 (Dec Qtr),Total Medicare,77.8%,31.68
NSW,2009-10 Q2 (Dec Qtr),Total Medicare,75.1%,32.39
NSW,2009-10 Q2 (Dec Qtr),Total Medicare,74.1%,30.66
NSW,2009-10 Q2 (Dec Qtr),Total Medicare,72.0%,30.75
Vic,2009-10 Q2 (Dec Qtr),Total Medicare,73.1%,32.13
Vic,2009-10 Q2 (Dec Qtr),Total Medicare,79.2%,34.63
Vic,2009-10 Q2 (Dec Qtr),Total Medicare,70.1%,33.04
Vic,2009-10 Q2 (Dec Qtr),Total Medicare,70.3%,32.81
Vic,2009-10 Q2 (Dec Qtr),Total Medicare,80.8%,29.81
Vic,2009-10 Q2 (Dec Qtr),Total Medicare,72.0%,28.10
Vic,2009-10 Q2 (Dec Qtr),Total Medicare,69.4%,28.49
Qld,2009-10 Q2 (Dec Qtr),Total Medicare,71.2%,31.13
Qld,2009-10 Q2 (Dec Qtr),Total Medicare,66.7%,30.75
Qld,2009-10 Q2 (Dec Qtr),Total Medicare,71.5%,32.28
Qld,2009-10 Q2 (Dec Qtr),Total Medicare,72.8%,33.47
Qld,2009-10 Q2 (Dec Qtr),Total Medicare,72.2%,29.04
Qld,2009-10 Q2 (Dec Qtr),Total Medicare,72.7%,32.78
Qld,2009-10 Q2 (Dec Qtr),Total Medicare,74.6%,30.35
Qld,2009-10 Q2 (Dec Qtr),Total Medicare,70.0%,30.23
SA,2009-10 Q2 (Dec Qtr),Total Medicare,75.6%,29.46
SA,2009-10 Q2 (Dec Qtr),Total Medicare,75.2%,29.66
SA,2009-10 Q2 (Dec Qtr),Total Medicare,76.9%,28.95
WA,2009-10 Q2 (Dec Qtr),Total Medicare,69.4%,33.80
WA,2009-10 Q2 (Dec Qtr),Total Medicare,66.8%,33.82
WA,2009-10 Q2 (Dec Qtr),Total Medicare,70.3%,33.63
WA,2009-10 Q2 (Dec Qtr),Total Medicare,73.6%,34.13
Tas,2009-10 Q2 (Dec Qtr),Total Medicare,72.4%,29.04
Tas,2009-10 Q2 (Dec Qtr),Total Medicare,72.4%,29.04
NT,2009-10 Q2 (Dec Qtr),Total Medicare,79.9%,38.71
NT,2009-10 Q2 (Dec Qtr),Total Medicare,79.9%,38.71
ACT,2009-10 Q2 (Dec Qtr),Total Medicare,60.6%,36.62
ACT,2009-10 Q2 (Dec Qtr),Total Medicare,60.6%,36.62
Unk,2009-10 Q2 (Dec Qtr),Total Medicare,79.6%,30.38
Unk,2009-10 Q2 (Dec Qtr),Total Medicare,79.6%,30.38
Australia,2009-10 Q2 (Dec Qtr),Total GP Non-Referred Attendances,79.6%,22.35
NSW,2009-10 Q2 (Dec Qtr),Total GP Non-Referred Attendances,84.4%,21.61
NSW,2009-10 Q2 (Dec Qtr),Total GP Non-Referred Attendances,85.7%,23.79
NSW,2009-10 Q2 (Dec Qtr),Total GP Non-Referred Attendances,69.8%,23.74
NSW,2009-10 Q2 (Dec Qtr),Total GP Non-Referred Attendances,94.3%,21.16
NSW,2009-10 Q2 (Dec Qtr),Total GP Non-Referred Attendances,91.3%,19.07
NSW,2009-10 Q2 (Dec Qtr),Total GP Non-Referred Attendances,94.9%,17.39
NSW,2009-10 Q2 (Dec Qtr),Total GP Non-Referred Attendances,80.5%,20.21
NSW,2009-10 Q2 (Dec Qtr),Total GP Non-Referred Attendances,78.6%,21.71
NSW,2009-10 Q2 (Dec Qtr),Total GP Non-Referred Attendances,77.9%,20.51
NSW,2009-10 Q2 (Dec Qtr),Total GP Non-Referred Attendances,80.1%,20.06
NSW,2009-10 Q2 (Dec Qtr),Total GP Non-Referred Attendances,74.1%,20.44
Vic,2009-10 Q2 (Dec Qtr),Total GP Non-Referred Attendances,78.6%,22.01
Vic,2009-10 Q2 (Dec Qtr),Total GP Non-Referred Attendances,85.9%,21.53
Vic,2009-10 Q2 (Dec Qtr),Total GP Non-Referred Attendances,77.3%,23.06
Vic,2009-10 Q2 (Dec Qtr),Total GP Non-Referred Attendances,75.6%,22.79
Vic,2009-10 Q2 (Dec Qtr),Total GP Non-Referred Attendances,83.5%,20.87
Vic,2009-10 Q2 (Dec Qtr),Total GP Non-Referred Attendances,69.7%,20.59
Vic,2009-10 Q2 (Dec Qtr),Total GP Non-Referred Attendances,74.0%,20.44
Qld,2009-10 Q2 (Dec Qtr),Total GP Non-Referred Attendances,78.7%,22.68
Qld,2009-10 Q2 (Dec Qtr),Total GP Non-Referred Attendances,72.1%,22.03
Qld,2009-10 Q2 (Dec Qtr),Total GP Non-Referred Attendances,80.8%,23.23
Qld,2009-10 Q2 (Dec Qtr),Total GP Non-Referred Attendances,81.5%,23.72
Qld,2009-10 Q2 (Dec Qtr),Total GP Non-Referred Attendances,81.6%,20.68
Qld,2009-10 Q2 (Dec Qtr),Total GP Non-Referred Attendances,81.9%,23.29
Qld,2009-10 Q2 (Dec Qtr),Total GP Non-Referred Attendances,82.2%,21.22
Qld,2009-10 Q2 (Dec Qtr),Total GP Non-Referred Attendances,73.9%,24.88
SA,2009-10 Q2 (Dec Qtr),Total GP Non-Referred Attendances,79.0%,20.14
SA,2009-10 Q2 (Dec Qtr),Total GP Non-Referred Attendances,79.7%,20.08
SA,2009-10 Q2 (Dec Qtr),Total GP Non-Referred Attendances,77.1%,20.26
WA,2009-10 Q2 (Dec Qtr),Total GP Non-Referred Attendances,72.5%,24.03
WA,2009-10 Q2 (Dec Qtr),Total GP Non-Referred Attendances,71.0%,23.87
WA,2009-10 Q2 (Dec Qtr),Total GP Non-Referred Attendances,74.7%,23.24
WA,2009-10 Q2 (Dec Qtr),Total GP Non-Referred Attendances,71.3%,25.86
Tas,2009-10 Q2 (Dec Qtr),Total GP Non-Referred Attendances,74.7%,22.54
Tas,2009-10 Q2 (Dec Qtr),Total GP Non-Referred Attendances,74.7%,22.54
NT,2009-10 Q2 (Dec Qtr),Total GP Non-Referred Attendances,65.4%,29.96
NT,2009-10 Q2 (Dec Qtr),Total GP Non-Referred Attendances,65.4%,29.96
ACT,2009-10 Q2 (Dec Qtr),Total GP Non-Referred Attendances,46.5%,25.96
ACT,2009-10 Q2 (Dec Qtr),Total GP Non-Referred Attendances,46.5%,25.96
Unk,2009-10 Q2 (Dec Qtr),Total GP Non-Referred Attendances,81.9%,22.63
Unk,2009-10 Q2 (Dec Qtr),Total GP Non-Referred Attendances,81.9%,22.63
Australia,2009-10 Q2 (Dec Qtr),Practice Nurse,95.4%,2.21
NSW,2009-10 Q2 (Dec Qtr),Practice Nurse,96.8%,2.18
NSW,2009-10 Q2 (Dec Qtr),Practice Nurse,95.6%,2.98
NSW,2009-10 Q2 (Dec Qtr),Practice Nurse,89.5%,2.88
NSW,2009-10 Q2 (Dec Qtr),Practice Nurse,97.4%,0.78
NSW,2009-10 Q2 (Dec Qtr),Practice Nurse,98.5%,2.02
NSW,2009-10 Q2 (Dec Qtr),Practice Nurse,99.2%,2.62
NSW,2009-10 Q2 (Dec Qtr),Practice Nurse,98.2%,1.33
NSW,2009-10 Q2 (Dec Qtr),Practice Nurse,98.0%,0.98
NSW,2009-10 Q2 (Dec Qtr),Practice Nurse,97.7%,1.76
NSW,2009-10 Q2 (Dec Qtr),Practice Nurse,97.1%,1.73
NSW,2009-10 Q2 (Dec Qtr),Practice Nurse,97.3%,2.36
Vic,2009-10 Q2 (Dec Qtr),Practice Nurse,95.0%,2.09
Vic,2009-10 Q2 (Dec Qtr),Practice Nurse,96.0%,2.99
Vic,2009-10 Q2 (Dec Qtr),Practice Nurse,95.3%,1.24
Vic,2009-10 Q2 (Dec Qtr),Practice Nurse,92.9%,2.39
Vic,2009-10 Q2 (Dec Qtr),Practice Nurse,97.2%,2.09
Vic,2009-10 Q2 (Dec Qtr),Practice Nurse,96.0%,2.23
Vic,2009-10 Q2 (Dec Qtr),Practice Nurse,94.1%,1.56
Qld,2009-10 Q2 (Dec Qtr),Practice Nurse,95.7%,2.28
Qld,2009-10 Q2 (Dec Qtr),Practice Nurse,94.1%,2.85
Qld,2009-10 Q2 (Dec Qtr),Practice Nurse,96.5%,3.45
Qld,2009-10 Q2 (Dec Qtr),Practice Nurse,96.7%,1.32
Qld,2009-10 Q2 (Dec Qtr),Practice Nurse,96.4%,1.49
Qld,2009-10 Q2 (Dec Qtr),Practice Nurse,94.5%,0.78
Qld,2009-10 Q2 (Dec Qtr),Practice Nurse,96.2%,1.89
Qld,2009-10 Q2 (Dec Qtr),Practice Nurse,94.7%,1.88
SA,2009-10 Q2 (Dec Qtr),Practice Nurse,94.5%,1.84
SA,2009-10 Q2 (Dec Qtr),Practice Nurse,93.9%,1.19
SA,2009-10 Q2 (Dec Qtr),Practice Nurse,95.7%,3.51
WA,2009-10 Q2 (Dec Qtr),Practice Nurse,92.3%,2.13
WA,2009-10 Q2 (Dec Qtr),Practice Nurse,91.2%,2.20
WA,2009-10 Q2 (Dec Qtr),Practice Nurse,92.5%,1.37
WA,2009-10 Q2 (Dec Qtr),Practice Nurse,94.7%,4.52
Tas,2009-10 Q2 (Dec Qtr),Practice Nurse,96.3%,1.90
Tas,2009-10 Q2 (Dec Qtr),Practice Nurse,96.3%,1.90
NT,2009-10 Q2 (Dec Qtr),Practice Nurse,95.5%,8.45
NT,2009-10 Q2 (Dec Qtr),Practice Nurse,95.5%,8.45
ACT,2009-10 Q2 (Dec Qtr),Practice Nurse,90.2%,2.60
ACT,2009-10 Q2 (Dec Qtr),Practice Nurse,90.2%,2.60
Unk,2009-10 Q2 (Dec Qtr),Practice Nurse,97.9%,8.83
Unk,2009-10 Q2 (Dec Qtr),Practice Nurse,97.9%,8.83
Australia,2009-10 Q2 (Dec Qtr),Other Allied Health,65.4%,25.12
NSW,2009-10 Q2 (Dec Qtr),Other Allied Health,70.1%,24.51
NSW,2009-10 Q2 (Dec Qtr),Other Allied Health,69.0%,28.51
NSW,2009-10 Q2 (Dec Qtr),Other Allied Health,42.7%,29.93
NSW,2009-10 Q2 (Dec Qtr),Other Allied Health,80.0%,24.46
NSW,2009-10 Q2 (Dec Qtr),Other Allied Health,69.5%,25.44
NSW,2009-10 Q2 (Dec Qtr),Other Allied Health,83.1%,19.64
NSW,2009-10 Q2 (Dec Qtr),Other Allied Health,71.6%,18.21
NSW,2009-10 Q2 (Dec Qtr),Other Allied Health,68.1%,22.33
NSW,2009-10 Q2 (Dec Qtr),Other Allied Health,61.4%,19.33
NSW,2009-10 Q2 (Dec Qtr),Other Allied Health,71.0%,23.42
NSW,2009-10 Q2 (Dec Qtr),Other Allied Health,67.5%,22.83
Vic,2009-10 Q2 (Dec Qtr),Other Allied Health,60.4%,24.17
Vic,2009-10 Q2 (Dec Qtr),Other Allied Health,69.2%,24.63
Vic,2009-10 Q2 (Dec Qtr),Other Allied Health,54.9%,23.17
Vic,2009-10 Q2 (Dec Qtr),Other Allied Health,55.0%,25.05
Vic,2009-10 Q2 (Dec Qtr),Other Allied Health,63.5%,19.84
Vic,2009-10 Q2 (Dec Qtr),Other Allied Health,62.6%,26.02
Vic,2009-10 Q2 (Dec Qtr),Other Allied Health,51.9%,24.21
Qld,2009-10 Q2 (Dec Qtr),Other Allied Health,62.1%,25.22
Qld,2009-10 Q2 (Dec Qtr),Other Allied Health,51.0%,28.02
Qld,2009-10 Q2 (Dec Qtr),Other Allied Health,62.9%,27.96
Qld,2009-10 Q2 (Dec Qtr),Other Allied Health,73.2%,23.13
Qld,2009-10 Q2 (Dec Qtr),Other Allied Health,69.2%,22.44
Qld,2009-10 Q2 (Dec Qtr),Other Allied Health,70.4%,39.77
Qld,2009-10 Q2 (Dec Qtr),Other Allied Health,59.1%,21.99
Qld,2009-10 Q2 (Dec Qtr),Other Allied Health,53.8%,25.51
SA,2009-10 Q2 (Dec Qtr),Other Allied Health,81.1%,30.29
SA,2009-10 Q2 (Dec Qtr),Other Allied Health,81.8%,30.91
SA,2009-10 Q2 (Dec Qtr),Other Allied Health,77.5%,27.81
WA,2009-10 Q2 (Dec Qtr),Other Allied Health,45.0%,28.19
WA,2009-10 Q2 (Dec Qtr),Other Allied Health,38.5%,28.65
WA,2009-10 Q2 (Dec Qtr),Other Allied Health,47.0%,27.77
WA,2009-10 Q2 (Dec Qtr),Other Allied Health,61.9%,27.16
Tas,2009-10 Q2 (Dec Qtr),Other Allied Health,55.6%,19.64
Tas,2009-10 Q2 (Dec Qtr),Other Allied Health,55.6%,19.64
NT,2009-10 Q2 (Dec Qtr),Other Allied Health,47.1%,37.55
NT,2009-10 Q2 (Dec Qtr),Other Allied Health,47.1%,37.55
ACT,2009-10 Q2 (Dec Qtr),Other Allied Health,32.4%,34.29
ACT,2009-10 Q2 (Dec Qtr),Other Allied Health,32.4%,34.29
Unk,2009-10 Q2 (Dec Qtr),Other Allied Health,48.9%,18.23
Unk,2009-10 Q2 (Dec Qtr),Other Allied Health,48.9%,18.23
Australia,2009-10 Q2 (Dec Qtr),Specialist Attendances,26.5%,41.05
NSW,2009-10 Q2 (Dec Qtr),Specialist Attendances,31.9%,46.33
NSW,2009-10 Q2 (Dec Qtr),Specialist Attendances,33.6%,48.59
NSW,2009-10 Q2 (Dec Qtr),Specialist Attendances,19.1%,45.82
NSW,2009-10 Q2 (Dec Qtr),Specialist Attendances,38.9%,50.83
NSW,2009-10 Q2 (Dec Qtr),Specialist Attendances,36.7%,49.36
NSW,2009-10 Q2 (Dec Qtr),Specialist Attendances,45.4%,49.04
NSW,2009-10 Q2 (Dec Qtr),Specialist Attendances,32.1%,44.87
NSW,2009-10 Q2 (Dec Qtr),Specialist Attendances,37.0%,47.47
NSW,2009-10 Q2 (Dec Qtr),Specialist Attendances,26.9%,41.85
NSW,2009-10 Q2 (Dec Qtr),Specialist Attendances,30.3%,40.86
NSW,2009-10 Q2 (Dec Qtr),Specialist Attendances,19.8%,41.75
Vic,2009-10 Q2 (Dec Qtr),Specialist Attendances,26.4%,37.05
Vic,2009-10 Q2 (Dec Qtr),Specialist Attendances,34.9%,38.84
Vic,2009-10 Q2 (Dec Qtr),Specialist Attendances,22.2%,36.94
Vic,2009-10 Q2 (Dec Qtr),Specialist Attendances,23.4%,37.55
Vic,2009-10 Q2 (Dec Qtr),Specialist Attendances,40.1%,38.50
Vic,2009-10 Q2 (Dec Qtr),Specialist Attendances,26.9%,36.68
Vic,2009-10 Q2 (Dec Qtr),Specialist Attendances,20.6%,32.65
Qld,2009-10 Q2 (Dec Qtr),Specialist Attendances,18.8%,41.19
Qld,2009-10 Q2 (Dec Qtr),Specialist Attendances,16.6%,40.57
Qld,2009-10 Q2 (Dec Qtr),Specialist Attendances,17.0%,39.93
Qld,2009-10 Q2 (Dec Qtr),Specialist Attendances,18.6%,41.50
Qld,2009-10 Q2 (Dec Qtr),Specialist Attendances,20.8%,40.10
Qld,2009-10 Q2 (Dec Qtr),Specialist Attendances,25.9%,48.59
Qld,2009-10 Q2 (Dec Qtr),Specialist Attendances,18.6%,43.12
Qld,2009-10 Q2 (Dec Qtr),Specialist Attendances,25.2%,43.09
SA,2009-10 Q2 (Dec Qtr),Specialist Attendances,30.4%,32.22
SA,2009-10 Q2 (Dec Qtr),Specialist Attendances,30.0%,32.15
SA,2009-10 Q2 (Dec Qtr),Specialist Attendances,31.7%,32.43
WA,2009-10 Q2 (Dec Qtr),Specialist Attendances,14.3%,39.61
WA,2009-10 Q2 (Dec Qtr),Specialist Attendances,13.3%,39.96
WA,2009-10 Q2 (Dec Qtr),Specialist Attendances,13.9%,39.17
WA,2009-10 Q2 (Dec Qtr),Specialist Attendances,18.6%,39.64
Tas,2009-10 Q2 (Dec Qtr),Specialist Attendances,28.3%,33.39
Tas,2009-10 Q2 (Dec Qtr),Specialist Attendances,28.3%,33.39
NT,2009-10 Q2 (Dec Qtr),Specialist Attendances,48.5%,45.30
NT,2009-10 Q2 (Dec Qtr),Specialist Attendances,48.5%,45.30
ACT,2009-10 Q2 (Dec Qtr),Specialist Attendances,22.2%,47.80
ACT,2009-10 Q2 (Dec Qtr),Specialist Attendances,22.2%,47.80
Unk,2009-10 Q2 (Dec Qtr),Specialist Attendances,26.6%,30.53
Unk,2009-10 Q2 (Dec Qtr),Specialist Attendances,26.6%,30.53
Australia,2009-10 Q2 (Dec Qtr),Obstetrics,35.1%,101.45
NSW,2009-10 Q2 (Dec Qtr),Obstetrics,35.4%,124.09
NSW,2009-10 Q2 (Dec Qtr),Obstetrics,23.0%,156.95
NSW,2009-10 Q2 (Dec Qtr),Obstetrics,11.1%,134.11
NSW,2009-10 Q2 (Dec Qtr),Obstetrics,49.9%,186.35
NSW,2009-10 Q2 (Dec Qtr),Obstetrics,33.1%,62.33
NSW,2009-10 Q2 (Dec Qtr),Obstetrics,56.4%,197.92
NSW,2009-10 Q2 (Dec Qtr),Obstetrics,46.7%,90.69
NSW,2009-10 Q2 (Dec Qtr),Obstetrics,49.3%,24.56
NSW,2009-10 Q2 (Dec Qtr),Obstetrics,46.3%,88.03
NSW,2009-10 Q2 (Dec Qtr),Obstetrics,35.8%,49.80
NSW,2009-10 Q2 (Dec Qtr),Obstetrics,38.9%,39.36
Vic,2009-10 Q2 (Dec Qtr),Obstetrics,40.2%,107.94
Vic,2009-10 Q2 (Dec Qtr),Obstetrics,43.2%,134.12
Vic,2009-10 Q2 (Dec Qtr),Obstetrics,37.0%,121.14
Vic,2009-10 Q2 (Dec Qtr),Obstetrics,37.3%,116.38
Vic,2009-10 Q2 (Dec Qtr),Obstetrics,55.6%,25.69
Vic,2009-10 Q2 (Dec Qtr),Obstetrics,31.7%,38.89
Vic,2009-10 Q2 (Dec Qtr),Obstetrics,45.9%,87.64
Qld,2009-10 Q2 (Dec Qtr),Obstetrics,28.9%,71.02
Qld,2009-10 Q2 (Dec Qtr),Obstetrics,11.9%,70.66
Qld,2009-10 Q2 (Dec Qtr),Obstetrics,30.9%,82.38
Qld,2009-10 Q2 (Dec Qtr),Obstetrics,39.9%,68.58
Qld,2009-10 Q2 (Dec Qtr),Obstetrics,34.0%,57.50
Qld,2009-10 Q2 (Dec Qtr),Obstetrics,37.1%,49.58
Qld,2009-10 Q2 (Dec Qtr),Obstetrics,30.8%,83.16
Qld,2009-10 Q2 (Dec Qtr),Obstetrics,30.0%,54.86
SA,2009-10 Q2 (Dec Qtr),Obstetrics,47.7%,109.38
SA,2009-10 Q2 (Dec Qtr),Obstetrics,45.2%,149.86
SA,2009-10 Q2 (Dec Qtr),Obstetrics,51.5%,47.55
WA,2009-10 Q2 (Dec Qtr),Obstetrics,25.8%,82.66
WA,2009-10 Q2 (Dec Qtr),Obstetrics,14.7%,104.22
WA,2009-10 Q2 (Dec Qtr),Obstetrics,32.1%,78.89
WA,2009-10 Q2 (Dec Qtr),Obstetrics,32.8%,49.89
Tas,2009-10 Q2 (Dec Qtr),Obstetrics,38.9%,44.99
Tas,2009-10 Q2 (Dec Qtr),Obstetrics,38.9%,44.99
NT,2009-10 Q2 (Dec Qtr),Obstetrics,56.0%,108.99
NT,2009-10 Q2 (Dec Qtr),Obstetrics,56.0%,108.99
ACT,2009-10 Q2 (Dec Qtr),Obstetrics,6.8%,139.42
ACT,2009-10 Q2 (Dec Qtr),Obstetrics,6.8%,139.42
Unk,2009-10 Q2 (Dec Qtr),Obstetrics,0.0%,78.01
Unk,2009-10 Q2 (Dec Qtr),Obstetrics,0.0%,78.01
Australia,2009-10 Q2 (Dec Qtr),Anaesthetics,7.5%,90.89
NSW,2009-10 Q2 (Dec Qtr),Anaesthetics,7.8%,67.36
NSW,2009-10 Q2 (Dec Qtr),Anaesthetics,8.0%,83.20
NSW,2009-10 Q2 (Dec Qtr),Anaesthetics,3.5%,80.96
NSW,2009-10 Q2 (Dec Qtr),Anaesthetics,12.4%,64.95
NSW,2009-10 Q2 (Dec Qtr),Anaesthetics,7.0%,86.65
NSW,2009-10 Q2 (Dec Qtr),Anaesthetics,13.9%,51.12
NSW,2009-10 Q2 (Dec Qtr),Anaesthetics,8.3%,76.13
NSW,2009-10 Q2 (Dec Qtr),Anaesthetics,6.0%,101.68
NSW,2009-10 Q2 (Dec Qtr),Anaesthetics,6.5%,68.25
NSW,2009-10 Q2 (Dec Qtr),Anaesthetics,7.3%,34.49
NSW,2009-10 Q2 (Dec Qtr),Anaesthetics,6.6%,31.98
Vic,2009-10 Q2 (Dec Qtr),Anaesthetics,9.0%,100.94
Vic,2009-10 Q2 (Dec Qtr),Anaesthetics,13.8%,99.03
Vic,2009-10 Q2 (Dec Qtr),Anaesthetics,6.8%,132.10
Vic,2009-10 Q2 (Dec Qtr),Anaesthetics,10.0%,87.24
Vic,2009-10 Q2 (Dec Qtr),Anaesthetics,19.6%,48.18
Vic,2009-10 Q2 (Dec Qtr),Anaesthetics,3.2%,38.88
Vic,2009-10 Q2 (Dec Qtr),Anaesthetics,3.6%,140.85
Qld,2009-10 Q2 (Dec Qtr),Anaesthetics,7.9%,86.30
Qld,2009-10 Q2 (Dec Qtr),Anaesthetics,8.4%,98.26
Qld,2009-10 Q2 (Dec Qtr),Anaesthetics,9.9%,124.49
Qld,2009-10 Q2 (Dec Qtr),Anaesthetics,8.0%,29.61
Qld,2009-10 Q2 (Dec Qtr),Anaesthetics,6.7%,72.64
Qld,2009-10 Q2 (Dec Qtr),Anaesthetics,6.9%,71.29
Qld,2009-10 Q2 (Dec Qtr),Anaesthetics,7.3%,75.32
Qld,2009-10 Q2 (Dec Qtr),Anaesthetics,5.7%,95.69
SA,2009-10 Q2 (Dec Qtr),Anaesthetics,4.8%,132.73
SA,2009-10 Q2 (Dec Qtr),Anaesthetics,5.0%,152.34
SA,2009-10 Q2 (Dec Qtr),Anaesthetics,4.1%,94.22
WA,2009-10 Q2 (Dec Qtr),Anaesthetics,3.8%,142.42
WA,2009-10 Q2 (Dec Qtr),Anaesthetics,3.7%,141.08
WA,2009-10 Q2 (Dec Qtr),Anaesthetics,3.8%,155.12
WA,2009-10 Q2 (Dec Qtr),Anaesthetics,4.0%,115.10
Tas,2009-10 Q2 (Dec Qtr),Anaesthetics,7.8%,108.78
Tas,2009-10 Q2 (Dec Qtr),Anaesthetics,7.8%,108.78
NT,2009-10 Q2 (Dec Qtr),Anaesthetics,3.5%,152.16
NT,2009-10 Q2 (Dec Qtr),Anaesthetics,3.5%,152.16
ACT,2009-10 Q2 (Dec Qtr),Anaesthetics,3.8%,66.08
ACT,2009-10 Q2 (Dec Qtr),Anaesthetics,3.8%,66.08
Unk,2009-10 Q2 (Dec Qtr),Anaesthetics,0.0%,-
Unk,2009-10 Q2 (Dec Qtr),Anaesthetics,0.0%,-
Australia,2009-10 Q2 (Dec Qtr),Total Pathology,84.6%,20.27
NSW,2009-10 Q2 (Dec Qtr),Total Pathology,86.0%,23.05
NSW,2009-10 Q2 (Dec Qtr),Total Pathology,84.8%,23.56
NSW,2009-10 Q2 (Dec Qtr),Total Pathology,78.6%,20.60
NSW,2009-10 Q2 (Dec Qtr),Total Pathology,90.1%,24.27
NSW,2009-10 Q2 (Dec Qtr),Total Pathology,90.5%,29.99
NSW,2009-10 Q2 (Dec Qtr),Total Pathology,90.3%,26.00
NSW,2009-10 Q2 (Dec Qtr),Total Pathology,87.7%,23.08
NSW,2009-10 Q2 (Dec Qtr),Total Pathology,87.8%,30.50
NSW,2009-10 Q2 (Dec Qtr),Total Pathology,86.6%,24.96
NSW,2009-10 Q2 (Dec Qtr),Total Pathology,81.3%,19.73
NSW,2009-10 Q2 (Dec Qtr),Total Pathology,86.2%,25.59
Vic,2009-10 Q2 (Dec Qtr),Total Pathology,85.9%,22.87
Vic,2009-10 Q2 (Dec Qtr),Total Pathology,88.3%,23.91
Vic,2009-10 Q2 (Dec Qtr),Total Pathology,83.7%,24.18
Vic,2009-10 Q2 (Dec Qtr),Total Pathology,84.8%,22.51
Vic,2009-10 Q2 (Dec Qtr),Total Pathology,92.4%,15.74
Vic,2009-10 Q2 (Dec Qtr),Total Pathology,88.7%,21.68
Vic,2009-10 Q2 (Dec Qtr),Total Pathology,82.7%,22.13
Qld,2009-10 Q2 (Dec Qtr),Total Pathology,77.2%,18.59
Qld,2009-10 Q2 (Dec Qtr),Total Pathology,77.4%,17.98
Qld,2009-10 Q2 (Dec Qtr),Total Pathology,76.1%,17.80
Qld,2009-10 Q2 (Dec Qtr),Total Pathology,79.1%,18.46
Qld,2009-10 Q2 (Dec Qtr),Total Pathology,75.8%,19.58
Qld,2009-10 Q2 (Dec Qtr),Total Pathology,73.1%,20.76
Qld,2009-10 Q2 (Dec Qtr),Total Pathology,79.3%,21.43
Qld,2009-10 Q2 (Dec Qtr),Total Pathology,75.3%,16.58
SA,2009-10 Q2 (Dec Qtr),Total Pathology,89.8%,17.14
SA,2009-10 Q2 (Dec Qtr),Total Pathology,88.5%,16.71
SA,2009-10 Q2 (Dec Qtr),Total Pathology,93.0%,19.36
WA,2009-10 Q2 (Dec Qtr),Total Pathology,85.5%,13.98
WA,2009-10 Q2 (Dec Qtr),Total Pathology,83.0%,13.59
WA,2009-10 Q2 (Dec Qtr),Total Pathology,85.7%,14.96
WA,2009-10 Q2 (Dec Qtr),Total Pathology,90.5%,12.35
Tas,2009-10 Q2 (Dec Qtr),Total Pathology,84.9%,32.24
Tas,2009-10 Q2 (Dec Qtr),Total Pathology,84.9%,32.24
NT,2009-10 Q2 (Dec Qtr),Total Pathology,96.8%,15.48
NT,2009-10 Q2 (Dec Qtr),Total Pathology,96.8%,15.48
